id,nombre,seleccionado,tipo
1,Brittany,true,Profesor
2,Claudette,true,Profesor
3,Salomo,false,Alumno
4,Shirlee,true,Profesor
5,Lutero,false,Alumno
6,Cynthie,false,Profesor
7,Giffy,false,Alumno
8,Fernande,false,Profesor
9,Ula,false,Profesor
10,Tildy,true,Profesor
11,Amble,true,Alumno
12,Alameda,false,Profesor
13,Joelynn,true,Profesor
14,Devlen,false,Agender
15,Danni,false,Profesor
16,Marin,false,Profesor
17,Raven,true,Profesor
18,Gabie,true,Alumno
19,Shurwood,false,Alumno
20,Reg,true,Alumno
21,Moses,true,Alumno
22,Jenny,false,Profesor
23,Elmo,true,Alumno
24,Bev,false,Alumno
25,Eldredge,false,Alumno
26,Broderic,false,Alumno
27,Gunner,true,Alumno
28,Benny,false,Alumno
29,Silvano,false,Alumno
30,Alexio,true,Alumno
31,Lorilee,false,Profesor
32,Shannah,false,Profesor
33,Chiquia,false,Profesor
34,Mitchael,false,Alumno
35,Annadiane,false,Genderqueer
36,Myrlene,false,Profesor
37,Collin,false,Alumno
38,Ignacio,false,Alumno
39,Toiboid,false,Alumno
40,Raimundo,true,Alumno
41,Ibbie,true,Agender
42,Hugues,false,Alumno
43,Carole,false,Profesor
44,Fina,false,Profesor
45,Madelon,true,Profesor
46,Dickie,true,Alumno
47,Jilli,false,Profesor
48,Andreas,false,Alumno
49,Barty,true,Alumno
50,Roobbie,false,Profesor
